timestamp,customer_id,genre,age,annual_income,spending_score,type,model,screen_size,quantity,unit_price
2021-03-13 14:25:18,111,Male,65,63,52,laptop,qw2,12.0,4,3188
2021-07-01 10:15:45,115,Female,18,65,48,laptop,kz,12.0,3,598
2021-10-04 13:56:19,131,Male,47,71,9,laptop,zeta,17.0,4,3121
2021-08-14 05:58:36,60,Male,53,46,46,television,jk23,55.0,2,4676
2021-07-19 17:03:17,119,Female,51,67,43,laptop,j3,15.0,5,2649
2021-04-14 07:54:52,157,Male,37,78,1,laptop,qw2,15.0,5,3847
2021-02-11 19:05:50,197,Female,45,126,28,laptop,j3,17.0,4,3156
2021-04-19 01:57:43,192,Female,32,103,69,laptop,kz,15.0,2,490
2021-11-11 10:04:38,182,Female,32,97,86,laptop,ay9,14.0,4,2585
2021-07-02 09:07:35,155,Female,47,78,16,laptop,c6,14.0,3,122
2021-03-21 09:10:19,108,Male,54,63,46,television,boom,32.0,4,2502
2021-05-06 04:07:54,105,Male,49,62,56,laptop,jl3,12.0,4,1791
2021-11-25 00:49:31,135,Male,20,73,5,television,ss2,48.0,1,3181
2021-01-16 18:32:16,96,Male,24,60,52,laptop,kz,17.0,2,1723
2021-10-11 18:16:00,66,Male,18,48,59,laptop,kz,17.0,1,4649
2021-06-27 05:33:17,46,Female,24,39,65,laptop,ay9,12.0,5,1903
2021-03-10 23:52:20,71,Male,70,49,55,laptop,k12,17.0,3,1827
2021-11-08 00:20:33,81,Male,57,54,51,smart phone,c12,5.5,3,2557
2021-07-19 04:39:19,191,Female,34,103,23,laptop,k12,14.0,3,2084
2021-08-06 21:04:44,32,Female,21,30,73,laptop,jl3,17.0,2,3331
2021-10-25 22:11:10,69,Male,19,48,59,smart phone,xm23,6.0,2,3911
2021-02-28 15:56:57,182,Female,32,97,86,smart phone,pk2,5.5,2,1729
2021-06-10 22:00:40,16,Male,22,20,79,laptop,j3,15.0,5,3955
2021-04-01 07:14:13,35,Female,49,33,14,laptop,k12,12.0,4,133
2021-05-13 05:42:48,27,Female,45,28,32,laptop,zeta,15.0,3,3727
2021-06-22 14:51:49,3,Female,20,16,6,smart phone,k9,6.0,2,3066
2021-03-05 00:04:40,197,Female,45,126,28,smart phone,xm23,6.5,5,1889
2021-07-02 13:44:06,102,Female,49,62,48,laptop,k12,12.0,1,4238
2021-01-21 21:57:46,177,Male,58,88,15,laptop,k12,14.0,2,367
2021-01-10 22:06:15,45,Female,49,39,28,television,ss2,55.0,3,2576
2021-08-12 01:25:04,176,Female,30,88,86,laptop,j3,12.0,5,79
2021-05-07 11:30:23,137,Female,44,73,7,laptop,qw2,12.0,4,4700
2021-01-06 14:23:50,33,Male,53,33,4,laptop,ay9,17.0,5,938
2021-05-22 09:16:24,76,Male,26,54,54,laptop,ay9,14.0,3,3745
2021-08-28 23:25:08,90,Female,50,58,46,laptop,c6,17.0,3,2178
2021-09-11 06:33:57,191,Female,34,103,23,laptop,c6,15.0,3,2316
2021-11-23 13:26:47,160,Female,30,78,73,smart phone,platina,6.0,5,4133
2021-03-12 10:55:23,114,Male,19,64,46,laptop,k12,12.0,4,3573
2021-08-25 22:15:57,43,Male,48,39,36,laptop,zeta,15.0,4,1621
2021-01-14 06:15:23,51,Female,49,42,52,laptop,j3,12.0,2,4701
2021-08-10 10:45:05,72,Female,47,49,42,laptop,jl3,14.0,1,3861
2021-01-11 09:25:31,152,Male,39,78,88,laptop,c6,17.0,5,1517
2021-04-29 09:18:46,158,Female,30,78,78,laptop,ki2,15.0,2,3202
2021-09-03 02:44:53,63,Female,67,47,52,laptop,k12,15.0,5,1337
2021-06-09 04:51:34,181,Female,37,97,32,laptop,zeta,14.0,2,136
2021-01-17 22:18:52,29,Female,40,29,31,television,dj1,48.0,4,3114
2021-08-12 06:46:14,183,Male,46,98,15,laptop,c6,17.0,4,2579
2021-07-14 13:16:17,82,Male,38,54,55,smart phone,c12,6.0,1,3625
2021-09-07 08:40:00,68,Female,68,48,48,laptop,jl3,14.0,3,3362
2021-04-17 17:07:12,191,Female,34,103,23,laptop,zeta,17.0,1,3567
2021-12-08 20:20:52,138,Male,32,73,73,laptop,jl3,17.0,3,4622
2021-09-26 10:22:25,49,Female,29,40,42,laptop,kz,12.0,3,4801
2021-11-07 16:21:00,158,Female,30,78,78,laptop,k12,12.0,5,1784
2021-06-21 18:44:21,56,Male,47,43,41,laptop,jl3,14.0,3,2708
2021-07-01 16:43:46,49,Female,29,40,42,laptop,k12,14.0,5,1619
2021-07-19 07:10:02,130,Male,38,71,75,laptop,jl3,17.0,2,3861
2021-01-17 17:23:56,191,Female,34,103,23,laptop,c6,12.0,5,2011
2021-02-17 12:13:08,37,Female,42,34,17,laptop,kz,12.0,5,1189
2021-10-03 04:26:28,198,Male,32,126,74,laptop,c6,14.0,3,3278
2021-02-19 07:11:30,52,Male,33,42,60,laptop,k12,15.0,3,2768
2021-07-21 06:06:49,108,Male,54,63,46,laptop,ki2,14.0,3,4408
2021-09-03 01:14:24,100,Male,20,61,49,laptop,kz,15.0,1,4506
2021-07-21 12:38:43,133,Female,25,72,34,laptop,kz,12.0,4,1342
2021-11-03 09:33:11,178,Male,27,88,69,television,jk23,32.0,3,2190
2021-10-10 19:24:29,157,Male,37,78,1,laptop,zeta,17.0,5,226
2021-03-11 04:41:54,54,Male,59,43,60,laptop,ki2,15.0,3,1205
2021-10-25 00:28:37,3,Female,20,16,6,laptop,k12,15.0,4,631
2021-03-06 14:39:26,15,Male,37,20,13,laptop,ki2,15.0,1,314
2021-01-17 02:41:29,74,Female,60,50,56,laptop,qw2,12.0,2,1305
2021-05-29 06:55:08,140,Female,35,74,72,laptop,zeta,17.0,4,984
2021-06-27 07:39:38,169,Female,36,87,27,television,ss2,24.0,5,1889
2021-07-03 00:11:30,61,Male,70,46,56,laptop,ki2,17.0,3,4335
2021-05-06 20:30:17,36,Female,21,33,81,laptop,k12,15.0,1,3803
2021-12-03 11:22:10,166,Female,36,85,75,smart phone,cz,5.5,4,1229
2021-11-06 17:34:53,67,Female,43,48,50,laptop,qw2,17.0,3,4206
2021-06-01 08:49:15,44,Female,31,39,61,laptop,jl3,17.0,1,1937
2021-10-27 21:52:31,183,Male,46,98,15,laptop,k12,17.0,3,4850
2021-10-27 15:05:16,53,Female,31,43,54,smart phone,xm23,5.5,3,4842
2021-03-15 15:44:20,67,Female,43,48,50,laptop,qw2,12.0,3,2126
2021-11-16 14:03:02,171,Male,40,87,13,laptop,ki2,17.0,1,4946
2021-04-24 16:46:49,51,Female,49,42,52,laptop,qw2,17.0,5,1763
2021-08-31 13:56:58,4,Female,23,16,77,laptop,k12,17.0,1,2061
2021-12-13 13:12:17,52,Male,33,42,60,laptop,k12,17.0,3,145
2021-01-12 13:12:52,125,Female,23,70,29,laptop,ay9,17.0,4,4433
2021-02-22 16:52:51,63,Female,67,47,52,laptop,c6,17.0,3,4844
2021-10-02 14:53:44,60,Male,53,46,46,laptop,qw2,15.0,4,2709
2021-10-24 18:41:56,54,Male,59,43,60,laptop,qw2,17.0,1,3262
2021-11-26 07:04:51,118,Female,49,65,59,laptop,k12,15.0,5,4048
2021-12-24 06:22:56,37,Female,42,34,17,laptop,j3,12.0,1,370
2021-11-03 01:23:08,200,Male,30,137,83,laptop,j3,14.0,3,3820
2021-07-28 22:20:10,92,Male,18,59,41,laptop,c6,15.0,2,2289
2021-08-06 17:46:52,115,Female,18,65,48,laptop,k12,12.0,4,113
2021-08-09 17:40:31,52,Male,33,42,60,smart phone,bn20,5.5,2,510
2021-06-06 21:48:59,13,Female,58,20,15,laptop,qw2,12.0,2,1062
2021-07-03 20:02:31,66,Male,18,48,59,laptop,ay9,17.0,4,2819
2021-06-09 22:01:47,55,Female,50,43,45,television,ss2,40.0,4,2731
2021-07-08 14:15:47,53,Female,31,43,54,laptop,c6,14.0,3,1045
2021-11-17 15:35:26,2,Male,21,15,81,laptop,ay9,15.0,1,3909
2021-01-05 01:10:03,186,Male,30,99,97,laptop,ki2,12.0,3,3984
2021-06-27 23:05:01,58,Male,69,44,46,smart phone,k9,6.5,5,2691
2021-02-05 23:41:26,128,Male,40,71,95,laptop,ki2,12.0,5,1845
2021-04-15 17:19:09,69,Male,19,48,59,laptop,qw2,17.0,2,951
2021-10-08 02:49:14,170,Male,32,87,63,laptop,j3,14.0,3,2221
2021-10-20 23:14:31,197,Female,45,126,28,laptop,ay9,17.0,2,3137
2021-09-28 02:19:56,128,Male,40,71,95,television,dj1,48.0,4,3375
2021-10-24 22:25:51,74,Female,60,50,56,laptop,c6,15.0,1,4010
2021-10-21 22:38:17,184,Female,29,98,88,laptop,qw2,15.0,5,4635
2021-03-28 12:57:05,77,Female,45,54,53,laptop,ay9,17.0,1,2748
2021-02-25 17:16:51,85,Female,21,54,57,laptop,c6,15.0,2,424
2021-01-02 12:26:17,122,Female,38,67,40,laptop,kz,15.0,1,2701
2021-06-08 20:35:37,91,Female,68,59,55,laptop,kz,17.0,3,648
2021-08-01 11:31:59,85,Female,21,54,57,laptop,kz,15.0,5,3573
2021-01-29 20:23:56,11,Male,67,19,14,laptop,j3,17.0,1,1727
2021-05-16 04:34:40,3,Female,20,16,6,laptop,k12,12.0,4,2718
2021-07-03 03:05:50,35,Female,49,33,14,laptop,j3,12.0,1,3143
2021-02-12 05:17:28,168,Female,33,86,95,laptop,jl3,17.0,1,57
2021-05-12 18:24:56,98,Female,27,60,50,laptop,j3,12.0,3,4701
2021-11-24 04:07:14,28,Male,35,28,61,laptop,ki2,15.0,4,4538
2021-04-18 15:59:56,58,Male,69,44,46,laptop,j3,15.0,2,4621
2021-07-10 00:25:45,189,Female,41,103,17,laptop,ki2,14.0,4,3430
2021-02-25 10:35:45,183,Male,46,98,15,laptop,zeta,17.0,5,2503
2021-01-04 02:30:53,112,Female,19,63,54,laptop,qw2,17.0,3,1002
2021-12-13 22:26:09,18,Male,20,21,66,laptop,jl3,14.0,1,4506
2021-06-16 00:23:28,81,Male,57,54,51,smart phone,cz,6.0,1,709
2021-01-08 07:19:19,166,Female,36,85,75,laptop,k12,17.0,2,1717
2021-12-08 00:49:59,150,Male,34,78,90,laptop,zeta,17.0,2,86
2021-09-23 19:53:42,132,Male,39,71,75,laptop,c6,12.0,3,4455
2021-11-18 13:32:27,28,Male,35,28,61,television,boom,40.0,5,2691
2021-11-09 14:33:09,147,Male,48,77,36,laptop,zeta,12.0,1,695
2021-10-15 01:03:07,30,Female,23,29,87,laptop,c6,14.0,2,4862
2021-05-23 00:25:29,124,Male,39,69,91,laptop,jl3,17.0,3,528
2021-09-05 13:36:01,128,Male,40,71,95,laptop,k12,12.0,4,367
2021-07-30 22:48:37,89,Female,34,58,60,laptop,ay9,17.0,1,3318
2021-08-12 17:22:44,167,Male,42,86,20,laptop,j3,17.0,3,2691
2021-10-01 20:44:22,37,Female,42,34,17,laptop,c6,15.0,3,2808
2021-12-31 23:21:36,122,Female,38,67,40,laptop,zeta,15.0,3,1304
2021-03-25 07:15:47,186,Male,30,99,97,laptop,k12,17.0,3,3423
2021-05-27 01:12:10,14,Female,24,20,77,laptop,c6,14.0,1,58
2021-07-10 14:52:36,148,Female,32,77,74,laptop,ay9,14.0,3,3927
2021-05-29 02:20:18,147,Male,48,77,36,laptop,ay9,12.0,4,2583
2021-03-21 05:19:41,26,Male,29,28,82,laptop,qw2,14.0,5,353
2021-06-30 14:33:39,97,Female,47,60,47,laptop,c6,12.0,5,3451
2021-07-05 05:54:08,80,Female,49,54,42,laptop,c6,12.0,1,565
2021-12-06 16:34:53,64,Female,54,47,59,laptop,j3,12.0,5,3841
2021-01-17 04:19:18,139,Male,19,74,10,laptop,kz,14.0,5,1665
2021-03-20 02:14:51,79,Female,23,54,52,laptop,zeta,15.0,3,4853
2021-01-27 10:27:45,53,Female,31,43,54,laptop,ki2,12.0,5,527
2021-09-26 17:37:40,147,Male,48,77,36,laptop,kz,15.0,3,100
2021-08-17 22:52:39,44,Female,31,39,61,laptop,zeta,12.0,4,1471
2021-09-16 07:08:38,10,Female,30,19,72,laptop,k12,15.0,1,3496
2021-01-11 02:36:56,53,Female,31,43,54,laptop,k12,12.0,4,90
2021-08-03 01:34:39,104,Male,26,62,55,laptop,ay9,12.0,2,88
2021-03-20 13:51:31,29,Female,40,29,31,laptop,kz,17.0,3,4033
2021-05-09 14:08:32,83,Male,67,54,41,laptop,j3,12.0,5,2176
2021-12-30 15:01:08,130,Male,38,71,75,laptop,k12,14.0,3,4028
2021-03-13 05:23:54,153,Female,44,78,20,laptop,j3,17.0,5,4157
2021-05-01 02:49:24,135,Male,20,73,5,television,k20,55.0,4,993
2021-04-23 04:37:41,173,Male,36,87,10,laptop,qw2,17.0,2,4743
2021-04-05 13:06:25,124,Male,39,69,91,laptop,ay9,17.0,3,2428
2021-09-08 02:33:47,163,Male,19,81,5,laptop,c6,12.0,5,446
2021-03-11 00:21:14,134,Female,31,72,71,laptop,zeta,14.0,1,1292
2021-10-24 09:50:54,13,Female,58,20,15,television,boom,24.0,3,4701
2021-12-09 20:49:08,169,Female,36,87,27,laptop,zeta,12.0,1,2230
2021-01-30 07:23:35,147,Male,48,77,36,laptop,ki2,12.0,3,1240
2021-08-19 10:06:03,54,Male,59,43,60,television,ss2,32.0,4,1304
2021-01-17 12:08:21,194,Female,38,113,91,laptop,kz,15.0,1,2630
2021-12-05 16:55:53,145,Male,25,77,12,laptop,ki2,14.0,4,3832
2021-06-07 09:17:03,4,Female,23,16,77,laptop,ay9,14.0,3,1619
2021-01-30 15:15:45,65,Male,63,48,51,laptop,zeta,14.0,3,1313
2021-04-04 05:38:13,73,Female,60,50,49,laptop,ay9,17.0,4,1594
2021-09-30 04:42:56,140,Female,35,74,72,laptop,qw2,15.0,5,3468
2021-06-24 21:42:02,123,Female,40,69,58,laptop,ki2,14.0,1,1787
2021-06-10 12:53:06,55,Female,50,43,45,laptop,zeta,15.0,2,2838
2021-01-01 23:51:06,10,Female,30,19,72,laptop,c6,14.0,3,4048
2021-06-30 18:22:54,192,Female,32,103,69,laptop,zeta,14.0,4,529
2021-10-25 01:22:50,182,Female,32,97,86,laptop,c6,15.0,1,2769
2021-12-22 23:53:00,75,Male,59,54,47,laptop,kz,17.0,2,1377
2021-11-29 11:06:06,41,Female,65,38,35,laptop,k12,12.0,4,4612
2021-10-26 14:12:20,138,Male,32,73,73,laptop,j3,17.0,5,4711
2021-07-22 23:54:21,156,Female,27,78,89,laptop,kz,15.0,1,3945
2021-12-12 03:04:11,157,Male,37,78,1,laptop,ki2,12.0,1,2331
2021-11-15 21:22:31,89,Female,34,58,60,laptop,qw2,17.0,2,164
2021-04-17 12:32:18,14,Female,24,20,77,laptop,k12,17.0,2,2310
2021-03-20 14:10:12,3,Female,20,16,6,laptop,ay9,17.0,1,239
2021-06-26 04:48:11,55,Female,50,43,45,laptop,k12,14.0,4,3803
2021-07-07 00:17:08,125,Female,23,70,29,laptop,qw2,12.0,3,2781
2021-07-25 19:33:09,144,Female,32,76,87,laptop,qw2,15.0,4,2008
2021-04-21 22:41:03,133,Female,25,72,34,laptop,ki2,12.0,5,4706
2021-05-01 06:44:49,145,Male,25,77,12,laptop,c6,17.0,5,2693
2021-05-12 17:48:27,110,Male,66,63,48,laptop,jl3,15.0,1,1345
2021-10-21 19:39:59,149,Female,34,78,22,smart phone,xm23,5.5,2,3121
2021-03-27 08:36:08,74,Female,60,50,56,laptop,kz,15.0,1,3490
2021-06-05 02:39:48,153,Female,44,78,20,laptop,j3,12.0,4,317
2021-03-28 07:53:49,16,Male,22,20,79,smart phone,k9,5.5,5,2012
2021-12-25 09:50:15,91,Female,68,59,55,laptop,ki2,15.0,1,3461
2021-04-06 16:16:58,63,Female,67,47,52,laptop,kz,14.0,5,2285
2021-12-05 11:39:53,69,Male,19,48,59,laptop,c6,14.0,4,398
2021-07-25 23:01:22,119,Female,51,67,43,laptop,ki2,14.0,4,2152
2021-03-10 08:39:52,77,Female,45,54,53,laptop,ki2,12.0,3,702
2021-07-12 00:06:40,150,Male,34,78,90,television,boom,24.0,2,3964
2021-11-18 20:21:28,56,Male,47,43,41,laptop,zeta,15.0,1,2420
2021-09-19 07:34:14,109,Male,68,63,43,laptop,ki2,14.0,5,951
2021-03-13 00:50:32,171,Male,40,87,13,smart phone,bn20,6.0,3,3536
2021-10-12 05:44:26,188,Male,28,101,68,laptop,jl3,15.0,1,3334
2021-09-07 20:57:09,184,Female,29,98,88,laptop,j3,12.0,4,3408
2021-01-29 12:08:42,13,Female,58,20,15,laptop,c6,12.0,3,4960
2021-12-09 15:20:12,80,Female,49,54,42,television,k20,55.0,5,2683
2021-11-26 21:10:50,86,Male,48,54,46,laptop,zeta,15.0,1,4488
2021-02-24 15:47:32,31,Male,60,30,4,laptop,ay9,15.0,4,897
2021-12-26 20:30:40,103,Male,67,62,59,laptop,jl3,17.0,1,1374
2021-03-04 09:20:26,105,Male,49,62,56,laptop,ki2,15.0,4,3443
2021-07-04 11:41:51,150,Male,34,78,90,laptop,ki2,14.0,3,1061
2021-01-14 03:33:27,80,Female,49,54,42,laptop,zeta,15.0,4,4331
2021-05-16 15:40:26,131,Male,47,71,9,laptop,ki2,17.0,1,1617
2021-10-20 01:44:18,19,Male,52,23,29,laptop,j3,17.0,5,1958
2021-07-22 18:49:10,193,Male,33,113,8,laptop,ki2,17.0,2,925
2021-05-12 21:56:44,49,Female,29,40,42,laptop,qw2,15.0,4,1544
2021-08-03 03:49:25,36,Female,21,33,81,laptop,jl3,14.0,5,2044
2021-04-06 02:44:29,63,Female,67,47,52,laptop,jl3,15.0,5,2901
2021-04-09 10:04:56,1,Male,19,15,39,laptop,zeta,14.0,1,4837
2021-04-23 20:58:34,54,Male,59,43,60,laptop,ay9,12.0,4,2933
2021-05-18 13:19:35,143,Female,28,76,40,laptop,c6,14.0,2,3579
2021-02-14 02:49:31,90,Female,50,58,46,laptop,c6,12.0,1,2557
2021-02-09 00:33:52,119,Female,51,67,43,laptop,jl3,14.0,1,4348
2021-11-20 00:10:21,77,Female,45,54,53,laptop,j3,12.0,2,3180
2021-01-19 21:51:08,50,Female,31,40,42,laptop,ay9,12.0,1,1536
2021-05-21 19:46:39,53,Female,31,43,54,laptop,c6,14.0,4,4161
2021-09-26 04:08:02,127,Male,43,71,35,laptop,c6,14.0,4,2267
2021-12-07 00:59:17,16,Male,22,20,79,laptop,c6,17.0,3,4654
2021-09-08 14:34:05,104,Male,26,62,55,laptop,ki2,12.0,5,140
2021-09-14 22:12:15,48,Female,27,40,47,laptop,qw2,17.0,3,2718
2021-01-13 17:40:31,52,Male,33,42,60,laptop,ay9,14.0,3,2596
2021-08-16 13:31:33,28,Male,35,28,61,laptop,jl3,14.0,2,2136
2021-03-24 12:26:00,98,Female,27,60,50,laptop,ay9,14.0,3,367
2021-04-28 10:24:33,109,Male,68,63,43,laptop,c6,14.0,2,4021
2021-06-12 12:07:34,42,Male,24,38,92,laptop,ki2,14.0,5,3415
2021-09-28 10:14:23,92,Male,18,59,41,television,dj1,32.0,3,935
2021-05-30 09:29:29,157,Male,37,78,1,laptop,ki2,17.0,4,769
2021-03-09 19:09:52,143,Female,28,76,40,laptop,j3,14.0,4,621
2021-12-24 15:25:23,2,Male,21,15,81,laptop,ki2,17.0,4,1184
2021-02-04 06:48:19,100,Male,20,61,49,laptop,jl3,17.0,3,4634
2021-05-22 12:54:33,156,Female,27,78,89,laptop,kz,17.0,4,1795
2021-07-23 22:35:18,171,Male,40,87,13,laptop,kz,14.0,4,4698
2021-11-27 22:59:44,169,Female,36,87,27,laptop,qw2,14.0,4,1088
2021-06-27 18:26:30,120,Female,50,67,57,laptop,j3,12.0,4,4789
2021-05-03 02:15:47,176,Female,30,88,86,laptop,ki2,15.0,3,4555
2021-02-10 19:41:45,183,Male,46,98,15,laptop,kz,12.0,2,4418
2021-01-02 04:13:18,175,Female,52,88,13,laptop,k12,17.0,2,125
2021-01-18 07:35:02,67,Female,43,48,50,laptop,qw2,17.0,5,4108
2021-03-20 13:38:57,51,Female,49,42,52,laptop,kz,15.0,5,1877
2021-10-15 02:09:49,183,Male,46,98,15,laptop,j3,15.0,5,4320
2021-10-03 08:37:32,42,Male,24,38,92,smart phone,pk2,6.5,3,4346
2021-11-09 22:12:12,82,Male,38,54,55,laptop,jl3,15.0,4,4182
2021-03-03 18:19:00,46,Female,24,39,65,laptop,c6,15.0,1,3799
2021-01-15 08:52:01,154,Female,38,78,76,laptop,jl3,17.0,2,1164
2021-12-13 02:37:41,107,Female,66,63,50,laptop,ki2,14.0,2,3101
2021-11-28 05:47:11,141,Female,57,75,5,laptop,jl3,17.0,4,1882
2021-05-01 15:21:08,59,Female,27,46,51,laptop,j3,12.0,2,57
2021-08-10 02:09:01,89,Female,34,58,60,laptop,ay9,15.0,2,4688
2021-09-18 21:28:45,137,Female,44,73,7,laptop,ki2,17.0,5,2084
2021-01-25 05:06:16,18,Male,20,21,66,laptop,kz,15.0,2,1760
2021-12-31 21:19:29,9,Male,64,19,3,laptop,c6,12.0,5,1047
2021-11-02 05:59:51,85,Female,21,54,57,laptop,kz,17.0,1,205
2021-02-05 20:52:23,63,Female,67,47,52,laptop,ki2,14.0,2,1782
2021-08-20 07:48:03,15,Male,37,20,13,smart phone,c3,5.5,4,3238
2021-04-20 16:19:36,72,Female,47,49,42,laptop,ay9,17.0,5,1952
2021-05-26 17:25:52,92,Male,18,59,41,laptop,jl3,14.0,5,1585
2021-06-27 07:51:13,181,Female,37,97,32,laptop,qw2,17.0,4,4660
2021-08-25 21:14:09,48,Female,27,40,47,laptop,qw2,12.0,2,2356
2021-10-28 06:22:51,35,Female,49,33,14,laptop,ay9,12.0,4,322
2021-10-12 00:42:33,62,Male,19,46,55,television,jk23,24.0,3,3004
2021-08-19 12:22:36,5,Female,31,17,40,laptop,c6,12.0,1,653
2021-09-24 22:39:49,49,Female,29,40,42,laptop,kz,15.0,5,4121
2021-11-03 17:23:29,195,Female,47,120,16,laptop,zeta,12.0,3,2015
2021-05-23 17:47:08,148,Female,32,77,74,laptop,c6,15.0,1,3550
2021-10-07 19:50:46,69,Male,19,48,59,laptop,zeta,12.0,2,1118
2021-08-24 15:02:26,102,Female,49,62,48,laptop,jl3,14.0,1,3137
2021-12-05 16:02:34,84,Female,46,54,44,laptop,kz,15.0,2,4743
2021-07-10 00:17:50,143,Female,28,76,40,laptop,ki2,12.0,4,357
2021-01-05 15:08:24,29,Female,40,29,31,laptop,ay9,15.0,2,1453
2021-06-25 16:17:29,73,Female,60,50,49,laptop,jl3,17.0,3,556
2021-11-12 23:34:34,86,Male,48,54,46,laptop,jl3,17.0,4,1235
2021-12-01 15:46:04,66,Male,18,48,59,laptop,qw2,14.0,2,2909
2021-03-26 19:31:47,91,Female,68,59,55,television,boom,40.0,3,3873
2021-03-17 12:04:12,88,Female,22,57,55,laptop,ay9,14.0,1,2516
2021-12-01 08:43:30,13,Female,58,20,15,laptop,j3,17.0,5,624
2021-01-09 22:17:18,179,Male,59,93,14,laptop,k12,14.0,5,690
2021-04-27 08:40:20,200,Male,30,137,83,laptop,c6,15.0,4,2690
2021-03-26 11:01:39,127,Male,43,71,35,smart phone,c3,5.5,4,4787
2021-08-16 11:36:43,32,Female,21,30,73,laptop,c6,12.0,1,4853
2021-06-18 23:38:37,47,Female,50,40,55,laptop,jl3,15.0,1,1233
2021-08-16 23:31:59,184,Female,29,98,88,laptop,j3,12.0,4,174
2021-04-05 14:36:39,9,Male,64,19,3,laptop,jl3,15.0,1,1496
2021-11-22 13:05:12,143,Female,28,76,40,laptop,k12,12.0,2,2314
2021-03-15 16:11:11,24,Male,31,25,73,laptop,qw2,14.0,3,140
2021-06-10 21:54:37,89,Female,34,58,60,television,boom,32.0,1,643
2021-01-26 07:28:31,163,Male,19,81,5,laptop,jl3,14.0,3,239
2021-05-16 20:05:18,31,Male,60,30,4,laptop,jl3,17.0,5,643
2021-04-11 15:05:04,140,Female,35,74,72,laptop,k12,15.0,1,110
2021-06-26 06:08:40,84,Female,46,54,44,laptop,ki2,14.0,5,4458
2021-11-29 12:45:43,174,Male,36,87,92,laptop,j3,15.0,2,140
2021-05-31 15:27:13,159,Male,34,78,1,smart phone,xm23,6.5,5,2292
2021-01-29 14:25:39,170,Male,32,87,63,television,boom,24.0,5,4658
2021-01-11 17:16:50,82,Male,38,54,55,laptop,jl3,17.0,3,2984
2021-12-02 04:53:30,41,Female,65,38,35,laptop,k12,14.0,2,2012
2021-06-21 00:27:02,37,Female,42,34,17,laptop,ki2,17.0,2,3490
2021-09-05 10:25:11,107,Female,66,63,50,laptop,zeta,17.0,5,3327
2021-06-16 15:02:53,189,Female,41,103,17,laptop,j3,17.0,5,720
2021-05-14 21:41:21,159,Male,34,78,1,laptop,zeta,15.0,2,4232
2021-06-20 03:51:30,14,Female,24,20,77,laptop,zeta,14.0,2,469
2021-04-13 12:49:10,96,Male,24,60,52,laptop,j3,12.0,3,2176
2021-03-13 21:31:43,53,Female,31,43,54,television,dj1,40.0,3,1419
2021-09-23 06:30:00,76,Male,26,54,54,laptop,j3,15.0,4,4594
2021-05-04 12:10:42,39,Female,36,37,26,smart phone,c12,5.5,2,1861
